Pure Michigan - some places to visit (miscellaneous list),,,,,,
place,near what town,category,penninsula,distance from Kalamazoo,drive time from Kalamazoo (hours:minutes),
Ann Arbor,,city,,101,1:39,
Copper Harbor,,town,UP,594,9:31,
Fayette Hist. St Park,Garden,nature,UP,409,6:09,
Frankenmuth,,town,,156,2:21,
Grand Haven State Park,Grand Haven,nature,,83,1:25,
Isle Royale,none,nature,UP,594,9:32,
Mackinac Bridge,St. Ignace,nature,UP,286,4:03,
Mackinac Island,,town,UP,290,4:11,
Manistee,,town,,168,2:31,
Marquette,,city,UP,450,6:46,
Meijer Gardens,Grand Rapids,nature,,54,0:56,
Petoskey,,town,,232,3:35,
Pictured Rocks,Munising,nature,UP,397,5:53,
Porcupine Mountains,none,nature,UP,584,9:15,
Saugautuck,,town,,47,1:04,
Sleeping Bear Dunes,Glen Arbor,nature,,206,3:23,
South Haven,,town,,37,0:50,
Sugarloaf Mountain,Marquette,nature,UP,456,6:57,
Tahquamenon Falls,Newberry,nature,UP,363,5:25,
Traverse City,,city,,190,2:51,
Marshall,,city,,38,0:42,
